#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:alignment_77957eff5f94_twin" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:alignment_77957eff5f94_twin" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:alignment_77957eff5f94_twin" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:alignment_77957eff5f94_twin" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment_77957eff5f94_twin" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:alignment_77957eff5f94_twin" name="distribution" x="@BDBirthRate.t:alignment_77957eff5f94_twin">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:alignment_77957eff5f94_twin" name="distribution" x="@BDDeathRate.t:alignment_77957eff5f94_twin">
#            <Uniform id="Uniform.101" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment_77957eff5f94_twin" id="treeLikelihood.alignment_77957eff5f94_twin" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment_77957eff5f94_twin">
#            <siteModel id="SiteModel.s:alignment_77957eff5f94_twin" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment_77957eff5f94_twin" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment_77957eff5f94_twin" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment_77957eff5f94_twin" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:alignment_77957eff5f94_twin" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:alignment_77957eff5f94_twin" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:alignment_77957eff5f94_twin" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	BirthDeath	BDBirthRate	BDDeathRate
0	-8116.835061184591	-8104.38253735465	-12.452523829941558	-8104.38253735465	3.5338720092411458	-12.452523829941558	1.0	0.5
1000	-6326.756180669598	-6324.468699032356	-2.2874816372418474	-6324.468699032356	0.9318369359120453	-2.2874816372418474	1.7331992113510115	0.2915784024459514
2000	-6327.535479898415	-6324.55761030026	-2.977869598155096	-6324.55761030026	0.8788194255585771	-2.977869598155096	2.1073537978339214	0.49974263628710563
3000	-6326.661410476117	-6324.08890158964	-2.572508886477739	-6324.08890158964	0.9547104674516935	-2.572508886477739	1.8594369476168773	0.10889507168038641
4000	-6326.124166752829	-6323.767261313701	-2.3569054391286492	-6323.767261313701	0.9206909588805898	-2.3569054391286492	1.645864561172812	0.13846827643644022
5000	-6326.540058868803	-6324.175016461568	-2.365042407235092	-6324.175016461568	0.9163266709082573	-2.365042407235092	1.3898814091548897	0.39043333958138116
6000	-6325.181096381624	-6322.326178820969	-2.854917560654695	-6322.326178820969	0.8848706172416805	-2.854917560654695	0.9045459059565328	0.12202241088264748
7000	-6328.629753695292	-6325.560277080983	-3.0694766143086984	-6325.560277080983	0.9113570403203344	-3.0694766143086984	0.7379135213149524	0.25552535813109967
8000	-6327.778896267448	-6325.403173230957	-2.375723036490733	-6325.403173230957	0.9053310852327878	-2.375723036490733	1.489730394262301	0.09211011429024293
9000	-6330.864967701782	-6328.538646124552	-2.3263215772305017	-6328.538646124552	0.898477078534484	-2.3263215772305017	1.4077464548193352	0.28584411553287825
10000	-6329.10815182603	-6326.751161646401	-2.3569901796289576	-6326.751161646401	0.898477078534484	-2.3569901796289576	1.1963054714429802	0.3459116990140287
11000	-6327.0089897695825	-6324.067207304672	-2.9417824649106334	-6324.067207304672	1.0532311175730535	-2.9417824649106334	1.0551459361333067	0.2388820595118241
12000	-6326.89698662743	-6324.419504491825	-2.4774821356051118	-6324.419504491825	0.9331871069865447	-2.4774821356051118	1.4833167453357403	0.10525135590397014
13000	-6327.010730585293	-6324.792654082248	-2.218076503044231	-6324.792654082248	0.8444745812312208	-2.218076503044231	2.267115599809562	0.06199308235110025
14000	-6325.72419670552	-6322.708888115773	-3.015308589746688	-6322.708888115773	0.955854565745307	-3.015308589746688	2.5559826757005304	0.13180161892953735
15000	-6324.648077942824	-6322.4362520576215	-2.2118258852020536	-6322.4362520576215	0.8755130998025507	-2.2118258852020536	1.8053650352026038	0.17588522387083733
16000	-6329.394024439963	-6326.37335870599	-3.0206657339733454	-6326.37335870599	1.0861951948569672	-3.0206657339733454	1.1228514223000583	0.2157622798723317
17000	-6327.1329137815665	-6324.639314778664	-2.4935990029027932	-6324.639314778664	0.8846715332537335	-2.4935990029027932	2.1411347071329083	0.30469245498828534
18000	-6329.043228256351	-6326.122572016918	-2.9206562394331326	-6326.122572016918	1.0526914263225744	-2.9206562394331326	1.7766908842766926	0.10407257000106665
19000	-6328.01082006487	-6324.389834653454	-3.6209854114157713	-6324.389834653454	0.9263608385755333	-3.6209854114157713	2.447158790463113	0.4729564558626259
20000	-6328.264700014472	-6325.707373978762	-2.55732603570924	-6325.707373978762	0.9578465620598539	-2.55732603570924	1.118673917531664	0.5037611648211754
21000	-6325.159394312298	-6322.816138506117	-2.343255806181631	-6322.816138506117	0.8796337215504989	-2.343255806181631	1.6261233086540356	0.3153493928965594
22000	-6327.3969875250805	-6325.049629262687	-2.3473582623933194	-6325.049629262687	0.94803481492803	-2.3473582623933194	0.8638196517645962	0.6936410889075775
23000	-6325.518011718429	-6322.958854824521	-2.559156893907658	-6322.958854824521	0.9432031925029484	-2.559156893907658	1.4021190623619897	0.4826462564254124
24000	-6326.940106730715	-6324.332904067018	-2.607202663697488	-6324.332904067018	0.9696890151685181	-2.607202663697488	1.8414666315403427	0.3203149005629319
25000	-6324.606303538195	-6322.45199875791	-2.1543047802853086	-6322.45199875791	0.8741580844805931	-2.1543047802853086	1.5282849233388847	0.2131723161761916
26000	-6328.056570119632	-6325.793432520276	-2.263137599355953	-6325.793432520276	0.9354743785827733	-2.263137599355953	1.6941071717169351	0.21202470509351393
27000	-6326.888135655784	-6324.504993841702	-2.383141814081583	-6324.504993841702	0.8804559542396092	-2.383141814081583	1.1980808538377221	0.17419164092114
28000	-6327.402895789071	-6324.498942339969	-2.903953449102077	-6324.498942339969	0.893127761425387	-2.903953449102077	2.493590094879967	0.1593742638215669
29000	-6324.940370173663	-6322.253058857359	-2.68731131630375	-6322.253058857359	0.932625888929664	-2.68731131630375	2.3139789542945253	0.07846737183343248
30000	-6325.3349088930145	-6322.770889099085	-2.564019793929239	-6322.770889099085	0.9373511541229845	-2.564019793929239	1.9887886180246201	0.2598321936050777
31000	-6329.099161370728	-6326.047751639275	-3.051409731453095	-6326.047751639275	0.9756107351628078	-3.051409731453095	0.8550756405398057	0.246564838474426
32000	-6330.987295218213	-6328.458794776457	-2.5285004417567922	-6328.458794776457	0.9604605616890814	-2.5285004417567922	0.3170580991165002	0.8244401415106004
33000	-6327.7551216183065	-6325.104917039096	-2.650204579210553	-6325.104917039096	0.8837978619890859	-2.650204579210553	1.3853490703846203	0.5432064033693129
34000	-6327.425505708305	-6324.825251536297	-2.600254172006959	-6324.825251536297	0.927439456649731	-2.600254172006959	2.0093314233924096	0.11431814375240562
35000	-6327.778521657544	-6324.319796299787	-3.4587253577562365	-6324.319796299787	0.949268437832282	-3.4587253577562365	0.9856143826955268	0.7928026336575085
36000	-6325.789106982905	-6322.556680321973	-3.2324266609318983	-6322.556680321973	0.8888654535883568	-3.2324266609318983	2.3974269992877577	0.3807042658041566
37000	-6326.581508238188	-6323.628248550968	-2.953259687219986	-6323.628248550968	1.0035155416330206	-2.953259687219986	1.0609713903269742	0.00884053298367833
38000	-6326.312383454264	-6322.23332198445	-4.0790614698134995	-6322.23332198445	0.9373237789360797	-4.0790614698134995	2.2612279296845963	0.5703993641435403
39000	-6325.104148653852	-6322.282100793278	-2.822047860573724	-6322.282100793278	0.9061192875921232	-2.822047860573724	2.1463962980193485	0.33043287178216496
40000	-6325.010975494175	-6321.969328592421	-3.0416469017538263	-6321.969328592421	0.9792589930973387	-3.0416469017538263	0.2695793374961726	0.8131436380553154
41000	-6325.571243656575	-6323.427140812257	-2.1441028443181205	-6323.427140812257	0.871706035810795	-2.1441028443181205	1.4973069527740221	0.3606505072163841
42000	-6324.540307167234	-6322.08989649463	-2.4504106726038257	-6322.08989649463	0.9250380379604989	-2.4504106726038257	1.2142117509993449	0.2157046187379919
43000	-6325.876587513024	-6322.941014665924	-2.9355728470998725	-6322.941014665924	0.946580814084791	-2.9355728470998725	2.240415174829572	0.2596884501752054
44000	-6325.957879927694	-6323.190843024855	-2.7670369028388047	-6323.190843024855	1.0062587296889238	-2.7670369028388047	2.014615116302884	0.10348962976355033
45000	-6329.325604899052	-6326.957070018528	-2.3685348805246527	-6326.957070018528	0.851568781111287	-2.3685348805246527	2.0059492802635632	0.14611028621417463
46000	-6326.6884059983695	-6324.185488727613	-2.5029172707566163	-6324.185488727613	0.9541698912433249	-2.5029172707566163	1.742314153550612	0.02898311205587979
47000	-6324.934976528685	-6322.451025057494	-2.483951471190758	-6322.451025057494	0.9378364660108821	-2.483951471190758	1.6248326333128	0.3202755647614122
48000	-6325.674410323156	-6323.048029183502	-2.626381139653448	-6323.048029183502	0.8568403225302911	-2.626381139653448	2.521664676085989	0.22015960635669365
49000	-6328.240420860487	-6324.945271943379	-3.2951489171077073	-6324.945271943379	0.9297615598742799	-3.2951489171077073	0.8179492537063808	0.06499000864999502
50000	-6325.988172297022	-6323.34461904166	-2.6435532553624075	-6323.34461904166	0.9985626648578945	-2.6435532553624075	1.783906156593846	0.043434807756391865
51000	-6325.718823359885	-6322.983748568806	-2.7350747910791604	-6322.983748568806	0.8700996419893969	-2.7350747910791604	2.014998050574094	0.42937386715339493
52000	-6327.397397502276	-6324.1575178190415	-3.2398796832348964	-6324.1575178190415	1.0120599200698572	-3.2398796832348964	1.5684990919013897	0.5654281498277766
53000	-6325.300850121343	-6322.943411795296	-2.357438326046446	-6322.943411795296	0.9000654216460382	-2.357438326046446	1.0191294362447767	0.5799418374160324
54000	-6325.35382204407	-6322.649903685482	-2.7039183585875035	-6322.649903685482	0.9386004011656532	-2.7039183585875035	0.29345070045301447	0.8730340862113409
